charityid,charityCategory,title,mission
org8772.htm,Human Services : Children's and Family Services,Listen Community Services,"Incorporated in 1972, Listen Community Services provides services and support to meet the critical needs  of Upper Valley individuals and families. Our grassroots organization has grown along with the region; adding programs like Community Dinners, Summer Camp Scholarships and Heating Helpers, to meet emerging needs. As a direct result of our community's generosity, Upper Valley children, seniors, families and individuals receive a warm meal, fuel for their homes, holiday presents for their children, and life skills education to help them transition to successful independent living. "
org13847.htm,"Human Services : Youth Development, Shelter, and Crisis Services","Boy Scouts of America, Old Hickory Council","The Old Hickory Council encompasses the eight counties of northwest North Carolina. In the early days of 1912 the council was known as the Winston-Salem Council and in 1919 it became Old Hickory Council. Today, the council serves more than 10,000 youth Serving Northwestern North Carolina's young people and families with a program of fun, we achieve character development, citizenship training and physical and mental fitness through a program of challenge, personal achievement, leadership training and association with positive adult role models - all while we're having lots of fun! "
org15052.htm,"Human Services : Youth Development, Shelter, and Crisis Services",Women's Shelter of South Texas,"The Women's Shelter of South Texas was founded in 1977 with the mission to prevent and ultimately end domestic violence and sexual assault in South Texas. The agency is the only private, non-profit 501(c)(3) organization specifically designed to provide services to adult and child victims of domestic and sexual violence across a twelve-county South Texas region which includes Aransas, Bee, Brooks, Duval, Jim Wells, Kenedy, Kleberg, Live Oak, McMullen, Nueces, Refugio, and San Patricio counties. All services are provided at no cost to victims. "
org10161.htm,Human Services : Social Services,SBH Community Service Network,"Founded in 1974, Sephardic Bikur Holim Community Service Network is a mental health and social service agency dedicated to caring for people in need with compassion, discretion, and respect. We provide for the health, sustenance, support, and well-being of children and adults, the infirm and the disadvantaged through an ever-expanding spectrum of programs and resources. We work hand-in-hand with a network of devoted volunteers and professionals to address special needs, while maintaining a strong commitment to excellence. At Sephardic Bikur Holim our goal is to invest families and individuals with strength and self-esteem so that they can rise with dignity to their utmost potential. "
org10441.htm,"Human Services : Youth Development, Shelter, and Crisis Services","Boy Scouts of America, Blackhawk Area Council","The mission of the Boy Scouts of America, Blackhawk Area Council is to positively change lives of those we serve with membership opportunities in quality programs of character and leadership development. The Boy Scouts of America is the nation's foremost youth program of character development and values-based leadership training. The Blackhawk Area Council creates the best scouting in America with trained adult and youth leaders providing quality program and membership opportunities. Scouting strengthens families and connects youth to the communities in which they live. The Council provides Scouting services to over 15,000 youth in twelve counties of northern Illinois and parts of southern Wisconsin. "
org7153.htm,Human Services : Social Services,Action in Community Through Service,"Mission - ACTS provides relief, fosters hope and promotes self-sufficiency for our Prince William area neighbors in crises due to hunger, homelessness and personal violence. "
org10828.htm,"Human Services : Youth Development, Shelter, and Crisis Services",Boys & Girls Clubs of Indian River County,"The Boys & Girls Clubs of Indian River County currently operates three professionally staffed, fully-equipped facilities offering daily programs promoting the health, social, educational, vocational and character development of youth ages 6-18. Our mission is to: inspire and enable all young people, especially those who need us most, to realize their full potential as productive, responsible and caring citizens. "
org13268.htm,Human Services : Social Services,The Attic Youth Center,"The Attic Youth Center creates opportunities for LGBTQ youth to develop into healthy, independent, civic-minded adults within a safe and supportive community, and promotes the acceptance of LGBTQ youth in society. From what was once a weekly support group, The Attic has grown into a nationally recognized, multi-service youth organization, and is now one of the largest community centers in the U.S. committed exclusively to serving LGBTQ youth and allies. "
org14559.htm,Human Services : Children's and Family Services,CHIP of Roanoke Valley,"CHIP of Roanoke Valley is an early childhood home visiting program. We pair low-income children, ages birth to kindergarten-entry, with a Community Health Nurse and Family Case Manager for health care coordination (help accessing needed medical services, assistance with the management of chronic conditions, and preventive services like fluoride dental varnish); developmental education, kindergarten preparation and regular child assessment and monitoring. Their families receive services like anticipatory child development guidance, employment and education support, parent meetings and transportation. These services work to help build parenting capacity and to provide support to families as they set and reach goals and move toward self-sufficiency. CHIP also offers supplemental case management services that target specific needs: Prenatal Case Management, Mental Health Case Management, and Asthma Case Management. "
org14457.htm,Human Services : Social Services,Martha's Kitchen,"Martha's Kitchen works to feed the hungry with dignity, no questions asked, no judgment made. It also sends out over 210,000 hot and cold meals annually to more than 25 other non-profit organizations in Santa Clara county as far south as Gilroy, and even to the dusty agricultural Merced county to support the hungry. At the end of 2013 it served its 2,750,000th meal since its founding, and has now grown to an annual production of 250,000 meals. "
org8666.htm,Human Services : Homeless Services,Samaritan Inns,"Established in 1985, Samaritan Inns provides structured housing and recovery services in an environment of support and accountability that will give homeless and addicted men and women the opportunity to rebuild their lives. Samaritan Inns' Recovery Continuum Program has proven results in its unique holistic approach to recovery treatment. Samaritan Inns' Intensive Recovery Program is a component of our Recovery Continuum Program serving men and women ages 18 to 60 years desiring freedom from a life of homelessness and addictions. Single Residency Occupancy (SRO) is the final element of the Recovery Continuum Program. SRO is designed to assist residents with applying acquired tools to live a wholesome, alcohol/drug free life on their recovery road. "
org13973.htm,Human Services : Social Services,The Next Door,"The Next Door will equip women in crisis to develop lives of wholeness and hope. The Next Door provides a continuum of evidence based services for women and their families impacted by addiction, mental illness, trauma and/or incarceration with Christ-centered compassionate care. We are a Christ-centered organization. We welcome all people. No one is forced to believe in Christ, but they will be cared for with Christ-centered principles. "
org12301.htm,"Human Services : Youth Development, Shelter, and Crisis Services",Boys & Girls Clubs of Greater Dallas,"Boys & Girls Clubs of Greater Dallas' mission is to enable all young people, especially those who need us most, to reach their full potential as productive, caring, responsible citizens. Today, thousands of boys and girls from low-income neighborhoods benefit from the building-centered programs and services designed specifically for them at 13 local Clubs. The programs offered provide strong moral guidance, positive role models and life-changing educational programs designed to save kids from lives of crime and failure. Boys & Girls Clubs of Greater Dallas is an organization that stands for traditional values, while providing progressive programs that address the problems faced by the youth of today, including substance abuse, teen pregnancy, gangs and violence. "
org15250.htm,Human Services : Homeless Services,Tender Mercies,"Tender Mercies transforms the lives of homeless adults with mental illness by providing security, dignity, and community in a place they call home. Security means a housing environment where residents' personal safety is a priority. Dignity means a housing environment that allows residents to develop personal, social, and economic strengths. And community is a regular, predictable housing environment that offers a sense of family, while affirming the individual. We achieve our mission by maintaining 134 units of permanent supportive housing and 16 units of transitional housing in 6 buildings in Over-the-Rhine. Our model of housing is based on the belief that by addressing the root causes of homelessness, we can help an individual break the cycle of homelessness once he or she leaves Tender Mercies. "
org7610.htm,Human Services : Multipurpose Human Service Organizations,Special Olympics South Carolina,"Special Olympics South Carolina provides year-round sports training and athletic competition in a variety of Olympic-type sports for children and adults with intellectual disabilities, giving them continuing opportunities to develop physical fitness, demonstrate courage, experience joy, and participate in a sharing of gifts skills and friendships with their families, and other Special Olympics Athletes and the community. Special Olympics is founded on the belief that people with intellectual disabilities can, with proper instruction and encouragement, learn, enjoy and benefit from participation in individual and team sports. "
org14381.htm,Human Services : Children's and Family Services,Judi's House,"The mission of Judi's House is to help children & families, grieving the death of a loved one, find hope & healing within themselves. At Judi's House, our vision is a world in which no child should ever have to feel alone in grief. We expect to achieve this vision by adhering to 3 core values: respect, accountability, and compassion. "
org4477.htm,Human Services : Social Services,Society of St. Vincent de Paul of Alameda County,"The SVdP mission is to provide direct help to anyone in need in Alameda County. SVdP provides this help through our Dining Room, which serves free meals to the hungry five days a week in downtown Oakland. We operate our Community Center, which includes: two drop-in centers for men, women and children; the Clothing Closet; Homeless & Caring Court; two job-training centers; medical clinics; and referrals. We operate social enterprises (three thrift stores, the Redux Studios & Gallery in Alameda; and electronics recycling) to help fund our programs. And we have a large pool of dedicated volunteers (called ""Vincentians"") throughout Alameda County who provide grassroots one-on-one assistance to those in need in their communities. "
org10505.htm,Community Development : Housing and Neighborhood Development,The Crisis Ministry of Mercer County,"The Crisis Ministry of Mercer County provides practical, caring programs that address hunger prevention, homelessness prevention and workforce training. Through our three ""Client Choice"" grocery-style pantries in Trenton (123 E. Hanover St.; 714-16 S. Clinton Ave.) and Princeton (61 Nassau St.) customers make their own selections based on household size and up-to-date nutritional guidelines. The Crisis Ministry helps to stabilize critical housing situations through emergency financial assistance and housing stability case management. Harvesting Hope is our on-site work training and mentoring program that educates and prepares 75 men and women per year for entry or re-entry into the workforce. We also educate the wider Princeton-Trenton community about issues that affect low-income people. "
org11933.htm,Human Services : Homeless Services,Partnership for the Homeless,"Founded in 1983, the Partnership for the Homeless is committed to building a just and equitable society and creating lasting community change through solution-oriented programs and policy initiatives that eliminate the root causes of homelessness. The Partnership developed the Home in the Community model - a groundbreaking programmatic approach that guides all of our work. Most important, our model gives primacy to our clients' right to determine the type of housing, neighborhood, and services that are best aligned with their needs and life choices. Our experience shows that this client-centric approach is very successful - our clients stay housed and find social and economic stability in their new communities. "
org12847.htm,Community Development : Fundraising,ALSAC - St. Jude Children's Research Hospital,"ALSAC (American Lebanese Syrian Associated Charities) was founded in 1957 and exists for the sole purpose of raising funds to support the operating and maintenance of St. Jude Children's Research Hospital. The mission of St. Jude Children's Research Hospital is to find cures for children with cancer and other catastrophic diseases through research and treatment. It is supported primarily by donations raised by ALSAC. Research efforts are directed at understanding the molecular, genetic and chemical bases of catastrophic diseases in children; identifying cures for such diseases; and promoting their prevention. Research is focused specifically on cancers, some acquired and inherited immunodeficiencies, sickle cell disease, infectious diseases and genetic disorders. "
org8182.htm,"Human Services : Youth Development, Shelter, and Crisis Services",Covenant House Missouri,"Covenant House Missouri (CHMO) empowers homeless, runaway and at-risk youth to live independently and become contributing members of our community. CHMO is an affiliate of Covenant House International, which began in 1969 in a small apartment in Manhattan's East Village. Covenant House came to St. Louis in 1998, starting with a small Outreach program, and expanded to a Community Service Center in 1999, where multiple direct services are provided for at-risk youth ages 16-21. Covenant House Missouri exists because of the enduring support of thousands of individuals who believe, with us, that every youth has a right to the presence of caring adults in her or his life. "
org3811.htm,Human Services : Social Services,Helen Keller Services for the Blind,"Helen Keller Services for the Blind (HKSB), founded in 1893 as the Industrial Home for the Blind. Over the years program and facility changes have been made, as needed, to reflect the needs of a diverse population of persons who were living in the New York City Metropolitan Area. The ability of this agency to respond to changing needs over the past 100 years has sustained its viability as an important resource. HKSB is well prepared and positioned to move into its second century maintaining a commitment to the mission of enabling people of all ages who are visually impaired, blind or deaf-blind to lead as independent a life as possible within their own communities. "
org5882.htm,Human Services : Social Services,Project Angel Food,"Project Angel Food's mission is to feed and nourish the sick as they battle critical illness. Volunteers and staff cook and deliver nutritious meals, free of charge, to homes throughout Los Angeles County to alleviate hunger, prevent malnutrition and return our clients to health. Our registered dietitians provide clients with individual, nutritional counseling. There is no charge to clients for these services. Since its inception in 1989, the Project Angel Food Program has prepared and delivered more than 9 million meals. Last year, the Project Angel Food Program prepared and delivered 525,000 meals to 2,081individuals. "
org4628.htm,Community Development : Fundraising,United Way of Allegheny County,"Founded in 1908, United Way of Allegheny County is a change agent and efficient community fundraiser that improves lives by addressing critical community needs. By convening diverse partners and investing in programs and people to advance solutions, United Way creates long-lasting change and helps children and youth succeed, strengthens and supports families by promoting financial stability, ensures the safety and well-being of vulnerable seniors, and provides county-wide access to information and referral sources meeting basic needs. "
org11052.htm,Human Services : Social Services,Meals on Wheels of Tampa,"Meals On Wheels of Tampa is committed to the mission of nourishing and enriching the independent lives of the homebound and seniors. Meals On Wheels serves approximately 660 individuals with a hot, nutritious meal delivered to their door by a caring volunteer. The quality of the food provides nourishment for the body. The encouraging words from volunteers, provides enrichment for the soul. For many of the homebound, a visit from a volunteer is the only human contact they will receive that day. Together we strengthen the community by caring for a segment of our population who are often forgotten and can not get out of the house. "
org9221.htm,Human Services : Homeless Services,"Open Door Mission, Omaha","Open Door Mission is a Gospel Rescue Mission founded in 1954. Each day, Open Door Mission Ministries provides 320 men, women, and children with safe shelter beds, serves more than 1,500 hot nutritious meals, and provides preventive measures to more than 250 families living in poverty. To meet the basic physical needs of the hungry and homeless, the Open Door Mission's Day Facility Services provide free transportation from the downtown area to Open Door Mission and Lydia House. Open Door Mission offers life-changing programs for those recovering from life-altering addictions and abuse to break the cycle of homelessness and poverty. "
org5949.htm,Community Development : Fundraising,Jewish Federation of Greater Hartford,"The mission of the Jewish Federation of Greater Hartford is to enhance, build and perpetuate Jewish life in Greater Hartford, in Israel and around the world. The Federation fulfills its mission through its annual campaign, financial resource development, planning, community relations efforts and by working in partnership with local, national and international Jewish charitable organizations, social service agencies, educational institutions and synagogues. The Federation is guided by the Jewish values of Tzedakah (righteous giving), Tikkun Olam (improving the world) and Klal Yisrael (the unity of the Jewish People). "
org8229.htm,"Human Services : Youth Development, Shelter, and Crisis Services",Andrew Glover Youth Program,"The Andrew Glover Youth Program provides an alternative to incarceration that works. The idea is simple. Instead of sending kids to jail, the court sends them to us. We work to intervene and reclaim young people from lives of crime; we provide an overloaded court system with a reliable alternative to incarceration for youths; and we make the Lower East Side and East Harlem safer for everyone. Andrew Glover Youth Program works directly with young people to help them understand, accept responsibility for, gain control of and direct their own lives in a positive, law abiding manner. Our two programs serve at-risk youth and youthful offenders where they need help the most: the streets where they live and the courts in which their futures are determined. "
org11441.htm,Human Services : Children's and Family Services,SOS Children's Villages - Florida,"SOS Children's Villages - Florida offers our foster children the benefits of family life and a brighter future. Our village is a place where foster children come to live and grow with the nurturing and stability every child deserves. For the past seventeen years, SOS has helped raised more than 285 boys and girls. Together we have pledged and fulfilled the promise of healing, hope and home for every child. Once a child turns 18, they are considered adults and are no longer part of foster care. However, that doesn't mean that they are no longer part of the SOS Family. Our 18+ After Care program provides support and services to help our young adults continue to pursue their dreams and succeed on their own. "
org12783.htm,Human Services : Social Services,Sephardic Food Fund ,"The Food Fund is a community-supported effort dedicated to discreetly identifying the needy in our midst and providing for their nutritional needs without injuring their dignity and pride. The Food Fund is almost entirely staffed by hand-picked volunteers. The Food Fund pioneered the concept of providing ordinary, bank-issued credit cards to individuals and families in distress. These credit cards allow the beneficiaries to shop at all food stores - supermarkets, groceries, butchers, etc. - up to a prescribed monthly credit limit. The credit limit varies according the number of family members plus any special considerations that are taken into account. "
org9241.htm,Human Services : Homeless Services,Association of Gospel Rescue Missions,"The Association of Gospel Rescue Missions (AGRM) exists to proclaim the passion of Jesus toward the hungry, homeless, abused, and addicted; and to accelerate quality and effectiveness in member missions. AGRM provides faith-based training, spiritual encouragement, and Christian resources for directors and staff at rescue missions. These missions promote the gospel of Jesus Christ to destitute individuals and families through services that include food, clothing, shelter, addiction recovery programs, GED tutoring, vocational training, and more. "
org9798.htm,Human Services : Multipurpose Human Service Organizations,YMCA of Orange County,"The YMCA of Orange County brings a sense of belonging to the community. We promote strong basic values and feelings of high self-worth that are critical for people of all ages. The YMCA's commitment to meeting community needs is continually demonstrated in programs ranging from child care, after-school enrichment, youth leadership and development, mentoring and tutoring, youth and adult sports, fitness, camping, and family support activities. The YMCA has been offering services to the residents of Orange County since the first YMCA in Santa Ana was founded in the 1880's. Today the YMCA of Orange County has eight branches, serves 85,000 residents of Orange County annually, is the largest provider of licensed school-age child care in the county, and has program offerings in 100+ locations spanning the county. "
org8172.htm,Human Services : Social Services,Bread for the City,"Founded in 1974, Bread for the City provides vulnerable residents of Washington, DC with comprehensive services including food, clothing, medical care, legal, and social services in an atmosphere of dignity and respect. We promote the mutual collaboration of clients, volunteers, donors, staff, and other community partners to alleviate the suffering caused by poverty and to rectify the conditions that perpetuate it. Today, Bread for the City offers its six primary programs from our two centers in Northwest and Southeast D.C. We serve an average of 10,000 D.C. residents every month, totaling more than 32,000 individuals annually. "
org9155.htm,Community Development : Housing and Neighborhood Development,Downtown Cleveland Alliance,"Downtown Cleveland Alliance is dedicated to building a dynamic downtown. It is committed to making downtown Cleveland the most compelling place to live, work, play and visit in the region. Downtown Cleveland Alliance, working hand in hand with downtown property owners, creates forums for communication and involvement by a diverse group of downtown stakeholders, including local development corporations, city and county governments, civic and arts organizations, residents, young professionals and business stakeholders. By facilitating the collaboration of these groups, DCA strives to enhance the quality of life in the urban core by implementing initiatives like the Clean & Safe Program, economic development assistance, marketing & special events, advocacy and strategic projects. "
org10734.htm,Community Development : Fundraising,Jewish Federation of Northeastern New York,"The mission of the United Jewish Federation of Northeastern New York is to build and maintain a strong and united Jewish community in order to ensure the creative survival and continuity of the Jewish people. It is the community's central agency for meeting Jewish needs and articulating Jewish concerns in the Capital Region, in Israel, nationally and around the world. Established in 1986 in a consolidation of the Greater Albany Jewish Federation and the Schenectady Jewish Federation, Federation serves the needs of the Jewish community locally, nationally and overseas by means of organized leadership, cooperative action and coordinated fundraising. "
org8082.htm,"Human Services : Youth Development, Shelter, and Crisis Services",Hope Children's Home,"Founded in 1968, Hope Children's Home has rescued nearly 5,000 children 2-18. Most of these children have been discarded, abused, unwanted, or orphaned. Some of them have faced life situations that left them a little off track. Our purpose at Hope Children's home is to share Christ with the children and mold them into Biblically educated members of our future society. For over 36 years, Hope Children's Home has taken children in and tried to make a difference in their very impressionable lives. We feel that God has called us to help rebuild the broken lives of these children and to build the bridge, when possible, between home, parent, and child. "
org14887.htm,"Human Services : Youth Development, Shelter, and Crisis Services",Wakeman Boys & Girls Club,"The Wakeman Boys and Girls Club was founded on Christmas Day in 1913 with the mission to guide and inspire young people, especially those that need us most, to reach their full potential as productive, caring and responsible citizens. Wakeman Boys and Girls Club operates three clubhouses: Southport, Stratfield and Smillow-Burroughs and continues to help young people grow up to BE GREAT! "
org13321.htm,Human Services : Children's and Family Services,Christian Family Care,"Founded in 1982, Christian Family Care Agency is a private nonprofit, 501(c)(3) social services agency that provides program focused on meeting the needs of children and families in Arizona. CFC's fundamental belief is that a nurturing family is vital to every child's success. Hundreds of children that have come to CFC in crisis situations are now part of loving and caring families. Our programs include adoption, foster care, pregnancy counseling, and child and family counseling. "
org10722.htm,Community Development : Housing and Neighborhood Development,Habitat for Humanity of Dane County,"Since 1987, Habitat for Humanity of Dane County has worked with 225 families to build simple, decent, affordable homes. Our Vision: A world where everyone has a decent place to live.Our Mission: Seeking to put God's love into action, Habitat for Humanity brings people together to build homes, communities and hope.Our Goal: Habitat for Humanity of Dane County will be a recognized leader, partner and catalyst for affordable housing solutions that positively impact families, communities and the environment. "
org12875.htm,Community Development : Fundraising,United Way of Acadiana,"United Way of Acadiana is creating lasting change by focusing on the building blocks of a good life: education, earnings, and essentials. We all win when a child succeeds in school, when families are financially stable and when neighbors meet their own basic needs. We will build a stronger Acadiana and advance the common good by mobilizing our communities to improve people's lives. United Way of Acadiana is independent, separately incorporated and governed by local volunteers. "
org13831.htm,Community Development : Fundraising,Memphis Jewish Federation,"Memphis Jewish Federation offers the best opportunity to build a strong community and better life for Jews at home, in Israel and in communities throughout the world. We serve as the central coordinating, fundraising, strategic planning and budgeting agency for the Memphis Jewish community. In partnership with the Memphis Jewish Community Center, the Memphis Jewish Home and Rehab, Jewish Family Service, Plough Towers, Morris S. Fogelman Jewish Student Center at Hillel of Memphis, the synagogues and schools of the Jewish community, a rich fabric of services is available for Jews and non-Jews in our city. "
org9180.htm,"Human Services : Youth Development, Shelter, and Crisis Services",Cocoon House,"Since 1991, Cocoon House has been Snohomish County's only resource exclusively serving homeless and at-risk youth ages 13-17. We believe that every child deserves a home and the opportunity to achieve his or her fullest potential. Cocoon House provides youth housing and other critical community based services to youth, caregivers, families and the community. After sixteen years of service, Cocoon House has grown into an all-encompassing, continuum of services that strengthens families while helping teens to reclaim their youth and discover their values, strengths and talents. This enables them to face the future with stability, dignity and purpose. Our services include emergency shelter, long-term transitional housing, case management, advocacy, and prevention. "
org8402.htm,Human Services : Multipurpose Human Service Organizations,Concerns of Police Survivors,"Organized in 1984, Concerns of Police Survivors (COPS) provides resources to assist in the rebuilding of the lives of surviving families and affected co-workers of law enforcement officers killed in the line of duty as determined by Federal criteria. Furthermore, COPS provides training to law enforcement agencies on survivor victimization issues and educates the public of the need to support the law enforcement profession and its survivors. COPS programs for survivors include the National Police Survivors' Conference, scholarships, peer-support at the national, state, and local levels, COPS Kids counseling reimbursement program, the COPS Kids Summer Camp, COPS Teens Outward Bound, special retreats for spouses, parents, siblings, adult children, and in-laws, trial and parole support, and other assistance programs. "
org10382.htm,"Human Services : Youth Development, Shelter, and Crisis Services",Rodeheaver Boys Ranch,"Rodeheaver Boys Ranch provides a wholesome home environment with religious, educational and vocational training for at-risk boys. These boys have no home of their own because of parental death, desertion, divorce, disability or dysfunction. Rodeheaver Boys Ranch provides these deserving young men a second chance in life and an opportunity to build a strong foundation for the future. Rodeheaver Boys Ranch has been carrying out this mission since 1950. "
org6606.htm,Community Development : Fundraising,United Way of Anchorage,"United Way of Anchorage (UWA) has been advancing the common good for more than 50 years. UWA is the leader in mobilizing the resources of individuals, companies, government and labor to achieve positive and lasting change in the lives of the people in our community. Our mission is to advance the common good by making lasting, measurable changes in community conditions that improve lives. Our work is focused on the basics: education - helping children and youth achieve their potential; income - guiding families to financial stability; and health - improving people's health. "
